0.000	1.000	1.000	4.000	2.000	5.000	4.000	3.000	5.000	11.000	18.000	8.000	9.000	13.000	8.000	3.000	2.000	1.000	3.000	1.000	0.000	0.000	0.000
0.000	1.000	2.000	3.000	6.000	4.000	12.000	15.000	22.000	24.000	27.000	21.000	21.000	17.000	21.000	13.000	11.000	9.000	7.000	4.000	1.000	0.000	1.000
1.000	4.000	2.000	7.000	4.000	14.000	10.000	22.000	31.000	28.000	34.000	42.000	43.000	38.000	18.000	13.000	19.000	9.000	10.000	5.000	1.000	4.000	0.000
5.000	2.000	7.000	12.000	18.000	27.000	35.000	35.000	53.000	52.000	52.000	42.000	49.000	67.000	45.000	35.000	37.000	24.000	19.000	11.000	6.000	3.000	1.000
3.000	3.000	7.000	8.000	24.000	33.000	47.000	70.000	93.000	117.000	124.000	118.000	118.000	100.000	79.000	75.000	58.000	33.000	19.000	11.000	8.000	2.000	2.000
3.000	9.000	17.000	28.000	40.000	59.000	68.000	98.000	116.000	136.000	150.000	165.000	155.000	146.000	133.000	102.000	79.000	46.000	35.000	23.000	15.000	4.000	4.000
4.000	7.000	15.000	34.000	50.000	79.000	119.000	146.000	174.000	211.000	233.000	210.000	236.000	186.000	145.000	145.000	100.000	74.000	45.000	31.000	23.000	4.000	9.000
9.000	18.000	26.000	44.000	59.000	95.000	130.000	183.000	237.000	283.000	310.000	297.000	297.000	293.000	240.000	176.000	151.000	101.000	59.000	29.000	25.000	8.000	8.000
7.000	18.000	37.000	42.000	82.000	116.000	173.000	229.000	275.000	324.000	337.000	373.000	364.000	326.000	286.000	232.000	170.000	115.000	80.000	46.000	30.000	16.000	10.000
9.000	26.000	31.000	62.000	104.000	155.000	205.000	260.000	334.000	375.000	414.000	464.000	423.000	405.000	316.000	246.000	202.000	161.000	103.000	43.000	37.000	14.000	17.000
14.000	30.000	30.000	65.000	106.000	175.000	249.000	295.000	369.000	394.000	476.000	477.000	474.000	430.000	358.000	307.000	193.000	172.000	112.000	54.000	42.000	20.000	12.000
13.000	31.000	38.000	74.000	87.000	154.000	222.000	301.000	368.000	453.000	464.000	487.000	455.000	423.000	385.000	342.000	197.000	143.000	119.000	67.000	35.000	23.000	14.000
12.000	13.000	45.000	61.000	107.000	158.000	198.000	283.000	354.000	449.000	464.000	466.000	441.000	438.000	344.000	301.000	202.000	188.000	113.000	53.000	38.000	21.000	7.000
11.000	11.000	33.000	69.000	95.000	165.000	203.000	291.000	324.000	382.000	437.000	411.000	411.000	405.000	364.000	283.000	210.000	125.000	112.000	69.000	26.000	21.000	13.000
7.000	16.000	37.000	58.000	90.000	120.000	172.000	234.000	296.000	373.000	399.000	359.000	372.000	325.000	291.000	209.000	190.000	103.000	82.000	52.000	41.000	12.000	9.000
6.000	12.000	23.000	47.000	56.000	102.000	130.000	191.000	215.000	282.000	301.000	293.000	261.000	262.000	235.000	164.000	120.000	102.000	68.000	44.000	21.000	17.000	4.000
4.000	5.000	22.000	24.000	56.000	71.000	108.000	145.000	176.000	190.000	239.000	210.000	239.000	186.000	172.000	131.000	117.000	71.000	48.000	37.000	19.000	8.000	9.000
6.000	7.000	11.000	25.000	37.000	43.000	73.000	102.000	109.000	134.000	159.000	156.000	157.000	141.000	129.000	107.000	78.000	67.000	40.000	23.000	12.000	7.000	2.000
4.000	4.000	9.000	15.000	25.000	29.000	49.000	64.000	83.000	98.000	94.000	99.000	109.000	78.000	75.000	61.000	37.000	38.000	18.000	15.000	12.000	3.000	4.000
0.000	6.000	4.000	10.000	20.000	31.000	27.000	37.000	40.000	63.000	61.000	59.000	69.000	69.000	53.000	35.000	43.000	22.000	21.000	8.000	3.000	4.000	2.000
0.000	2.000	4.000	5.000	4.000	14.000	20.000	27.000	27.000	41.000	42.000	37.000	45.000	41.000	31.000	28.000	19.000	12.000	4.000	7.000	2.000	5.000	0.000
0.000	1.000	2.000	4.000	4.000	5.000	7.000	8.000	17.000	17.000	9.000	29.000	19.000	23.000	15.000	13.000	11.000	8.000	2.000	5.000	2.000	0.000	0.000
0.000	0.000	1.000	2.000	1.000	4.000	6.000	3.000	7.000	8.000	9.000	15.000	16.000	8.000	7.000	5.000	4.000	3.000	5.000	0.000	1.000	0.000	0.000
