3	5	6	6	4	6	8	15	6	10	13	6	8	5	11	8	10	9	10	10	14	10	11	8	10	8	8	12	9	10	6	7	9	7	8	12	18	7	10	10	9	11	8	14	10	13	8	12	7	13	11	12	6	7	7	13	7	12	5	9	6	8	9	4	4	12	12	5	5	3	7	7	9	4	5	7	9	3	9	6	14	6	9	7	1	9	7	12	2	3	13	9	4	10	13	7	8	5	2	4	13	12	2	4	11	6	5	6	10	10	8	4	6	13	7	5	5	14	4	5	7	12	8	4	5	3	9	9	9	6	2	4	7	4	7	5	2	6	5	7	8	6	7	10	6	9	7	6	10	5	14	6	7	8	5	7	15	9	13	7	11	8	7	10	5	11	10	10	10	7	10	10	13	20	11	9	10	17	7	23	12	10	12	16	13	13	17	19	23	13	18	25	18	22	20	22	25	30	21	23	12	22	21	9	12	15	12	17	10	11	10	9	5	7	10	6	8	8	5	5	8	8	5	5	6	7	6	13	7	8	7	7	10	8	7	9	7	9	7	7	7	4	3	5	7	9	9	5	10	5
5	5	12	10	7	5	10	5	9	7	7	6	3	2	12	10	10	7	7	8	11	12	8	11	14	5	10	5	2	5	10	7	7	11	17	10	8	10	8	5	14	17	14	12	15	10	9	15	13	6	8	4	6	7	12	7	5	6	10	7	4	8	12	5	1	11	7	6	2	6	8	5	2	6	10	9	5	5	6	3	7	5	6	5	5	9	10	3	4	8	2	10	7	10	6	5	3	14	6	6	7	7	8	11	6	2	5	9	8	12	7	5	3	3	7	4	9	11	12	5	7	9	9	6	6	6	6	5	6	3	4	8	5	7	5	10	3	5	7	6	2	9	5	7	11	8	7	6	8	12	6	8	8	8	7	7	7	12	6	9	10	6	5	8	11	9	7	13	10	16	12	6	17	9	15	14	12	9	12	15	9	11	11	14	14	4	13	13	11	12	17	21	18	23	22	27	31	21	18	15	13	18	30	20	8	16	17	14	2	12	10	12	5	6	10	4	5	4	5	14	3	8	7	10	3	7	8	12	5	6	5	9	7	4	7	11	6	8	11	4	6	7	8	5	3	10	6	9	5	9
5	6	7	7	10	11	4	7	2	8	7	6	11	6	9	9	8	12	6	7	11	11	4	10	8	5	3	12	9	5	12	6	7	6	8	6	7	4	9	9	8	5	9	7	4	9	10	9	13	9	11	8	14	5	9	9	9	5	3	7	11	4	6	7	9	3	5	4	3	4	12	7	9	6	3	9	7	6	7	3	8	6	10	5	5	8	4	7	7	8	4	9	7	8	7	5	9	4	8	9	6	4	7	9	7	8	9	8	4	5	3	6	4	7	5	4	6	12	6	4	9	4	5	3	5	8	11	4	5	5	3	9	9	7	8	3	4	5	5	4	7	6	6	5	2	5	7	9	4	7	7	7	4	10	7	6	7	2	12	8	7	11	10	10	15	7	7	13	13	12	12	9	9	14	8	9	10	6	7	9	12	9	10	9	9	9	11	18	9	8	12	11	22	12	18	20	25	16	11	21	21	18	13	14	10	18	12	7	14	8	10	5	11	7	9	6	3	10	8	7	9	7	6	5	7	8	6	5	1	15	9	10	6	6	7	6	9	9	13	10	4	8	7	6	4	13	9	13	12	8
5	8	4	7	6	7	8	8	4	4	9	9	10	4	6	6	10	12	12	6	6	10	12	4	8	4	4	4	2	9	6	6	7	7	10	5	4	6	10	12	11	10	12	11	9	7	8	9	9	9	10	8	5	6	7	13	14	8	9	5	11	10	10	11	5	5	5	8	4	6	5	7	7	7	12	7	7	6	3	1	7	3	6	5	4	4	1	4	5	6	7	5	7	4	5	3	7	6	10	10	9	10	6	4	5	8	6	9	5	5	7	3	7	8	9	9	7	9	7	2	11	4	6	7	9	5	8	10	8	9	6	7	3	8	8	4	7	2	5	6	6	5	6	7	8	9	6	6	11	12	7	9	16	6	12	6	9	3	11	2	5	6	11	6	6	12	5	5	7	13	10	11	13	13	5	13	13	13	13	14	11	11	10	9	13	9	15	7	12	12	12	16	13	24	14	15	11	12	12	11	15	8	17	21	17	13	13	10	4	7	7	13	8	7	7	12	4	6	8	8	12	4	9	9	5	7	7	8	13	5	8	12	6	6	6	7	4	6	9	6	7	8	5	7	8	9	7	4	11	8
4	5	9	4	4	4	3	6	4	10	4	11	4	6	12	13	8	15	12	5	5	7	6	4	7	4	9	8	10	8	5	5	12	10	5	15	6	5	9	7	8	11	11	4	11	13	7	12	4	8	12	11	6	10	9	8	5	10	10	10	5	10	5	4	10	14	1	3	8	6	8	7	8	5	5	1	3	5	4	3	12	8	10	6	7	5	8	5	8	4	7	3	4	5	3	13	11	8	8	6	10	7	12	5	3	12	4	11	5	9	7	8	11	5	7	7	5	6	9	12	11	5	6	8	4	3	5	3	4	11	3	3	5	6	5	4	3	6	4	5	7	6	7	9	6	8	3	5	4	6	7	3	6	11	2	7	7	9	8	5	7	5	12	10	9	9	10	9	11	13	11	10	13	9	7	10	9	12	11	7	8	14	9	12	10	12	7	10	10	6	11	14	13	21	17	10	17	21	18	6	13	22	7	15	13	7	16	6	7	4	11	5	6	9	7	4	5	5	5	6	7	9	5	7	12	6	5	8	10	7	6	9	12	7	12	12	5	3	4	11	6	6	8	6	4	7	8	8	6	12
11	6	6	6	3	9	5	3	12	6	4	4	5	6	6	7	9	5	4	10	9	7	7	5	8	6	5	12	13	7	4	10	13	5	6	4	13	5	11	12	13	11	8	11	8	9	7	5	11	11	13	4	8	12	12	9	5	7	5	5	7	9	5	7	5	7	3	11	6	8	11	10	4	3	3	4	7	3	6	6	8	4	4	6	5	4	5	4	8	6	6	7	5	7	5	5	7	9	7	4	4	7	10	9	8	11	9	10	9	7	18	3	3	7	7	4	4	8	5	8	2	10	8	7	3	8	7	4	6	5	4	0	3	3	7	5	2	12	12	4	7	6	4	5	4	4	3	6	9	7	7	8	7	4	4	6	11	3	9	6	4	11	10	5	9	9	13	10	7	10	16	13	7	15	17	17	16	10	6	6	13	11	7	12	9	4	10	6	12	13	15	10	11	7	15	9	9	8	10	16	15	2	27	17	11	7	16	10	7	8	10	8	4	2	11	9	6	10	10	5	7	9	3	7	10	6	7	7	8	11	8	6	7	6	6	8	5	11	5	5	4	4	5	7	10	5	12	3	8	15
6	5	7	3	7	3	5	4	3	5	6	2	4	9	12	8	8	14	15	12	7	6	10	15	4	2	10	6	9	10	8	8	8	5	4	7	6	7	6	5	5	6	6	8	8	8	10	9	10	13	7	7	5	10	8	7	8	5	6	14	10	6	8	6	7	10	5	3	3	3	6	8	7	8	4	3	6	7	4	6	5	4	2	6	3	3	4	9	3	0	2	5	4	2	4	5	3	10	6	4	11	6	11	6	5	9	6	7	7	8	10	6	9	3	6	7	7	7	8	6	5	7	10	3	4	2	9	3	6	4	5	6	5	8	6	4	6	6	10	3	6	7	10	8	8	4	4	5	7	5	7	6	5	9	5	9	6	11	9	4	5	5	9	2	10	7	5	6	9	7	16	11	6	11	10	8	16	9	8	16	8	4	9	9	9	9	5	6	8	10	5	5	12	15	7	11	9	10	8	12	15	10	17	11	6	5	3	6	4	6	11	4	3	10	10	12	5	5	9	6	7	5	6	7	6	4	11	6	7	5	11	14	6	6	9	7	3	2	4	7	6	5	5	5	3	5	6	8	14	9
4	5	6	6	9	8	7	10	7	5	6	7	5	7	11	8	5	10	13	11	11	7	14	7	4	10	12	4	13	7	9	4	6	8	8	8	6	7	8	8	3	4	7	9	11	15	4	8	9	3	6	5	9	8	8	6	5	9	13	8	16	11	5	8	5	7	10	7	10	6	9	2	11	5	6	7	4	5	6	6	7	9	5	1	5	6	3	3	7	6	3	5	7	4	6	5	7	8	4	9	8	10	6	14	10	4	8	9	5	9	9	7	4	3	5	9	4	7	8	5	5	9	7	4	9	5	4	5	6	4	5	7	1	6	4	7	4	1	6	6	3	7	6	8	8	4	5	3	11	5	6	5	7	9	10	8	11	6	11	10	2	11	7	12	9	9	13	8	10	7	8	11	15	7	9	13	9	10	10	10	8	11	10	4	5	7	12	10	7	12	13	16	13	10	10	9	10	11	12	13	4	16	15	12	14	15	10	8	5	14	4	8	8	3	7	9	9	9	9	12	6	5	6	5	9	8	13	11	4	9	9	6	5	5	6	5	11	6	8	7	10	3	6	6	12	8	6	11	11	7
7	5	3	6	8	11	4	1	5	9	11	3	19	6	12	14	15	19	6	6	12	14	10	6	5	7	5	9	11	7	5	10	14	5	6	5	7	3	7	9	4	5	7	9	5	13	7	4	6	7	7	9	5	4	8	9	13	3	5	5	9	10	4	9	13	7	8	10	2	6	3	7	6	5	3	7	11	12	9	4	7	5	4	2	2	5	2	3	6	7	4	9	6	7	6	7	6	3	4	8	10	9	7	2	14	8	6	8	10	13	10	6	6	5	5	7	9	7	7	7	5	5	3	3	6	7	6	1	3	4	6	0	1	0	8	1	5	6	11	10	5	8	4	7	4	7	4	11	10	7	1	6	10	6	4	6	5	9	10	6	5	7	6	8	9	11	8	4	13	10	11	7	4	16	5	14	9	9	7	3	12	9	9	7	4	5	7	12	10	9	7	8	11	4	10	9	8	15	7	11	11	7	9	11	10	6	7	4	11	6	7	6	5	6	6	9	4	7	6	12	9	6	5	11	10	5	5	5	2	7	8	8	5	8	6	8	2	7	6	9	4	6	4	5	6	3	11	8	7	4
2	6	5	7	5	2	6	2	5	2	10	7	7	4	7	13	11	10	9	10	16	13	9	10	9	8	5	9	11	5	11	9	8	9	8	7	10	6	4	4	9	12	8	10	8	9	8	8	9	12	11	10	6	8	7	8	11	11	11	6	9	13	4	5	6	11	4	7	2	2	8	6	5	9	8	7	4	6	2	2	6	4	4	1	1	10	6	4	3	11	4	0	5	4	10	8	3	3	8	7	10	9	6	2	6	9	10	5	12	2	10	3	8	5	5	8	6	4	6	6	6	3	4	5	4	5	6	4	4	6	5	3	1	5	7	1	8	3	5	9	7	5	5	10	11	3	7	6	7	10	9	7	3	7	6	8	8	4	3	3	5	4	9	8	8	11	7	7	5	6	7	10	6	7	10	3	6	8	10	9	1	10	9	9	6	5	8	9	11	8	9	2	8	7	5	6	5	6	13	3	7	7	4	6	9	8	5	6	5	7	11	4	11	9	8	3	5	6	4	6	5	11	8	6	3	5	10	5	9	9	4	9	8	5	10	9	7	2	7	11	6	9	6	5	4	11	6	8	10	11
